Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Priority,1172,4,4.279028376701771,2.846414436884199,-4.018086637572798,0.3610134172642428
Bidir,1172,4,4.544033299401907,2.8257830143775715,-4.40440282415568,0.7577146373151027
Power,5137,4,5.69428413269236,3.710709565724337,-6.787826153841833,1.9448484209647607
Priority,5137,4,4.384371337600991,2.994882517664086,-4.082035216799548,1.1979629773579004
Bidir,5137,4,4.688831757123577,3.0225854610210474,-4.448818057779468,1.4217268889899668
Power,2157,4,5.314790617821723,3.3338501451025446,-6.743299853179352,1.461600306426074
Priority,2157,4,4.344897641909778,2.9391172803318595,-4.0422913927050175,0.6301216681335166
Bidir,2157,4,4.533831865905672,2.7577477367233416,-4.304283055504656,0.829980177308583
Power,3426,4,5.513787274338498,3.534787358629492,-6.929813667144669,1.7216137059734324
Priority,3426,4,4.369451183604957,2.9787259522749188,-4.081300584937717,0.7687668773258705
Bidir,3426,4,4.634873265622782,2.938165682401036,-4.499589102904874,1.099685585177595
Power,2990,4,5.45668550685273,3.47567118832443,-6.591761513389417,1.6534087058025633
Priority,2990,4,4.360681137232604,2.961455822344577,-4.007260616795456,0.6777253150807218
Bidir,2990,4,4.595155459779296,2.8574942968870163,-4.456217119325375,1.0278553015279157
Power,62,2,3.744172235826147,1.792391689498254,-6.02134091298398,0.0995893983434504
Priority,62,2,3.3908695292342546,1.7444047562495069,-3.998787025924925,0.0929702866185913
Bidir,62,2,3.652130255695401,1.7664128471123997,-4.247552479032719,-0.1775954022677967
Power,15,2,3.1452171307202272,1.1760912590556811,-5.275277273448499,-1.0655799891197992
Priority,15,2,2.9439559352973594,1.1760912590556811,-4.139694816868889,-1.1725709911703668
Bidir,15,2,3.084170985659296,1.1760912590556811,-4.139694816868889,-1.0419880561625037
Power,550,3,4.70468123154941,2.740362689494244,-5.934365016417139,0.7712637525386872
Priority,550,3,4.017841000876919,2.5370437420766083,-3.977074217684053,0.0405589785281545
Bidir,550,3,4.354977734272788,2.601363448304708,-4.259171883706835,0.3648490117693436
Power,99,2,3.9553776965103737,1.99563519459755,-6.029437920056462,-0.116045974000771
Priority,99,2,3.498325872548774,1.891010608056281,-3.951506568721233,-0.4736117713049297
Bidir,99,2,3.726745315569357,1.8863340250149443,-4.086029907366634,-0.2404066772772404
Power,32,2,3.476546338944578,1.505149978319906,-5.597503615835182,-0.5727851206142867
Priority,32,2,3.211495979556424,1.496150954700512,-4.035943254651271,-0.9223222910634346
Bidir,32,2,3.494115443111804,1.505149978319906,-4.537242001914109,-0.5864279633182561
Power,37,2,3.5096862961712287,1.568201724066995,-5.58732377271971,-0.2973125732367519
Priority,37,2,3.230295613917047,1.5590512091954385,-4.105920796977038,-0.5810572296206526
Bidir,37,2,3.494289792865728,1.568201724066995,-4.395908181762367,-0.3269742969036581
Power,93,2,3.90770091332551,1.968482948553935,-5.367022376581326,0.1101345884224888
Priority,93,2,3.4865249317651807,1.889457335721344,-3.949481416845983,-0.3051556659260287
Bidir,93,2,3.795659919043632,1.957447649314536,-4.258627713416758,0.0216350780462495
Power,95,2,3.943354345106781,1.977723605288848,-5.639674562256173,-0.0722065107561402
Priority,95,2,3.4683883615881435,1.851598039375348,-3.9644230028890326,-0.5227328419594579
Bidir,95,2,3.7266977842844016,1.905496056757822,-4.441763144929298,-0.3021503345724422
Power,293,3,4.442277964630993,2.4668676203541096,-5.641803011682435,0.4002532199765186
Priority,293,3,3.914188611105903,2.3866866671124747,-3.9488686107518336,-0.0957441480082261
Bidir,293,3,4.19580136814927,2.3949122752928726,-4.211836738270659,0.1833176002441614
Power,26,2,3.3444829626803734,1.414973347970818,-5.834117403260716,-0.4308817554419266
Priority,26,2,3.12555633172479,1.4143304248602069,-4.241257035736337,-0.5861376001067582
Bidir,26,2,3.359251556898101,1.414973347970818,-4.255193977851029,-0.2088126710402872
Power,17,2,3.166726055580052,1.230448921378274,-5.250162855562275,-0.1782701534528542
Priority,17,2,2.977131593387157,1.230448921378274,-4.29282072256842,-0.6573706947673865
Bidir,17,2,3.2503625901226907,1.230448921378274,-4.304144169834509,-0.8646705430443523
Power,70,2,3.794658415923705,1.8450980400142565,-5.745952715968705,-0.0677779372782842
Priority,70,2,3.4260230156898763,1.8002969349576836,-3.96323198704044,-0.5682360812831226
Bidir,70,2,3.740029163673759,1.8391986235383384,-4.145937915506054,-0.2826062353365974
Power,16,2,3.160543558238841,1.2041199826559248,-5.390756339629539,-0.990321072526857
Priority,16,2,2.9395192526186187,1.2041199826559248,-4.35573542546567,-1.481395176937581
Bidir,16,2,3.228849308218481,1.2041199826559248,-4.5732445592767,-1.1678485703793926
Power,138,3,4.107693879609734,2.1398790864012365,-6.015366925894966,0.051958495934301
Priority,138,3,3.72581012914106,2.122260169179184,-4.026499253600102,-0.2507350182990721
Bidir,138,3,4.051975987851968,2.1398790864012365,-4.26794825405128,0.0067018786911362
Power,33,2,3.457904823722616,1.5185139398778875,-5.6111205038271965,-0.5810363151417355
Priority,33,2,3.186690992001222,1.4972648165111535,-4.089420501151423,-0.9216889450120012
Bidir,33,2,3.4816988122982178,1.5185139398778875,-4.514935376837087,-0.6431329264899412
Power,14,2,3.115800637312404,1.146128035678238,-5.712572885337673,-1.384591208711909
